MODEL NAME,LOG TIME,SERIAL NUMBER,LOCATION,STATUS,BATTERY,TIME ZONE,CO(ppm),Custom1(ppm),H2S(ppm),LEL(%LEL),O2(%)
AreaRAE Plus,2025-12-12 13:15:27,W01B00000781,Lng:145.005142 Lat:-37.829617,,84,UTC+11:00,0,0.714,0,0,20.2
AreaRAE Plus,2025-12-12 13:14:26,W01B00000781,Lng:145.005142 Lat:-37.829617,,84,UTC+11:00,0,0.714,0,0,20.2
AreaRAE Plus,2025-12-12 13:14:20,W01B00000781,Lng:145.005142 Lat:-37.829613,,84,UTC+11:00,0,0.716,0,0,20.2
AreaRAE Plus,2025-12-12 13:14:13,W01B00000781,Lng:145.005142 Lat:-37.829605,,84,UTC+11:00,0,0.72,0,0,20.2
AreaRAE Plus,2025-12-12 13:14:06,W01B00000781,Lng:145.005142 Lat:-37.829605,,84,UTC+11:00,0,0.719,0,0,20.3
AreaRAE Plus,2025-12-12 13:14:00,W01B00000781,Lng:145.005142 Lat:-37.8296,,84,UTC+11:00,0,0.718,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:52,W01B00000781,Lng:145.005142 Lat:-37.8296,,84,UTC+11:00,0,0.719,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:51,W01B00002478,Lng:145.00528 Lat:-37.829685,,29,UTC+11:00,0,0.433,0,0,20.9
AreaRAE Plus,2025-12-12 13:13:45,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.722,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:39,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.718,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:32,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.714,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:25,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.716,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:19,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.707,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:12,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.71,0,0,20.3
AreaRAE Plus,2025-12-12 13:13:06,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.707,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:59,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.708,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:53,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.707,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:51,W01B00002478,Lng:145.00528 Lat:-37.829685,,29,UTC+11:00,0,0.433,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:51,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.7,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:47,W01B00002478,Lng:145.00528 Lat:-37.829678,,29,UTC+11:00,0,0.433,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:47,W01B00000781,Lng:145.005142 Lat:-37.829597,,84,UTC+11:00,0,0.696,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:45,W01B00002478,Lng:145.005264 Lat:-37.829674,,29,UTC+11:00,0,0.429,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:45,W01B00000781,Lng:145.005142 Lat:-37.829594,,84,UTC+11:00,0,0.699,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:43,W01B00002478,Lng:145.005264 Lat:-37.82967,,29,UTC+11:00,0,0.431,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:43,W01B00000781,Lng:145.005142 Lat:-37.829594,,84,UTC+11:00,0,0.695,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:42,W01B00002478,Lng:145.005264 Lat:-37.82966,,29,UTC+11:00,0,0.426,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:42,W01B00000781,Lng:145.005142 Lat:-37.829594,,84,UTC+11:00,0,0.703,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:39,W01B00002478,Lng:145.005249 Lat:-37.829647,,29,UTC+11:00,0,0.43,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:39,W01B00000781,Lng:145.005142 Lat:-37.82959,,84,UTC+11:00,0,0.701,0,0,20.3
AreaRAE Plus,2025-12-12 13:12:35,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.428,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:35,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.679,0,0,20.2
AreaRAE Plus,2025-12-12 13:12:11,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.649,0,0,20.2
AreaRAE Plus,2025-12-12 13:12:09,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.429,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:05,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.67,0,0,20.2
AreaRAE Plus,2025-12-12 13:12:05,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.426,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:03,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.655,0,0,20.2
